               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044249,            0.032932,           0.0067195,             0.82222,             0.69472,             0.74979,              0.3528,            0.043854,            0.023834,           0.0055774,             0.00307,             0.00307,             0.00307
                  37,            0.043441,            0.032445,           0.0064021,              0.8206,             0.70655,             0.75015,             0.35972,            0.044051,            0.023777,           0.0056176,            0.002872,            0.002872,            0.002872
                  38,            0.043082,             0.03194,            0.006546,             0.81268,             0.71349,             0.75096,               0.362,            0.043918,            0.023591,           0.0052543,            0.002674,            0.002674,            0.002674
                  39,            0.042992,             0.03233,           0.0061514,             0.84527,             0.70516,             0.75741,             0.36337,            0.043762,              0.0235,            0.005395,            0.002476,            0.002476,            0.002476
                  40,            0.042822,            0.032022,           0.0058496,             0.82204,             0.70877,             0.75327,             0.35803,            0.043732,            0.023437,            0.005194,            0.002278,            0.002278,            0.002278
                  41,            0.042148,            0.031732,           0.0057701,              0.8209,             0.69607,             0.74467,             0.36041,              0.0431,            0.023769,           0.0055174,             0.00208,             0.00208,             0.00208
                  42,             0.04186,            0.030659,           0.0055751,             0.89195,             0.68913,             0.76531,              0.3684,            0.043214,            0.023255,           0.0052262,            0.001882,            0.001882,            0.001882
                  43,            0.041341,             0.03155,           0.0058108,             0.82087,             0.73723,             0.76851,             0.36801,            0.043306,            0.023258,           0.0051816,            0.001684,            0.001684,            0.001684
                  44,             0.04082,            0.030858,           0.0055357,             0.85233,             0.71464,             0.76287,             0.37185,            0.043031,            0.023325,           0.0054333,            0.001486,            0.001486,            0.001486
                  45,            0.040829,            0.030895,           0.0056397,             0.83582,             0.72249,             0.76755,             0.37285,            0.042804,            0.023395,           0.0051061,            0.001288,            0.001288,            0.001288
                  46,            0.040213,            0.030701,           0.0055794,             0.84194,             0.70755,             0.75826,             0.37713,            0.042572,            0.023034,           0.0054025,             0.00109,             0.00109,             0.00109
                  47,             0.03976,            0.030467,           0.0053773,             0.84705,             0.72196,             0.76705,             0.37941,            0.042502,            0.023358,           0.0051084,            0.000892,            0.000892,            0.000892
                  48,            0.039594,            0.030393,           0.0049803,             0.84755,             0.71394,             0.76396,               0.378,            0.042231,            0.023149,           0.0050927,            0.000694,            0.000694,            0.000694
                  49,             0.03927,                0.03,           0.0049139,             0.85636,             0.72527,             0.76613,             0.38094,            0.042403,            0.023128,           0.0051648,            0.000496,            0.000496,            0.000496
